State,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Alabama,4863300,4780131,0.017,4779736,0.060,0.064,0.226,0.237,0.161,0.138,0.516,0.515,0.693,0.268,0.007,0.014,0.001,0.016,0.042,0.658,363170,0.035,2230185,2171853,0.687,125500,1139,345,717,15001,1848325,2.550,0.853,0.052,0.843,0.235,0.118,0.107,0.580,0.530,7576462,26039632,124809759,57746565,58564965,12145,24.40,43623,24091,0.171,98540,1634391,67370353,0.019,322025,374153,203604,137630,92219,272651,41943,316984,94.40,50645.33,"""01"""
Alaska,741894,710249,0.045,710231,0.073,0.076,0.252,0.264,0.104,0.077,0.477,0.480,0.661,0.038,0.152,0.063,0.013,0.073,0.070,0.612,69323,0.074,310658,306967,0.634,250000,1827,554,1146,1503,250969,2.810,0.809,0.162,0.921,0.280,0.081,0.155,0.677,0.650,2221335,6375483,D,5216303,10474275,14320,19.00,72515,33413,0.099,20907,267999,15643303,0.004,55521,68032,35402,22141,13688,51147,7953,56091,1.20,570640.95,"""02"""
Arizona,6931071,6392301,0.084,6392017,0.063,0.071,0.235,0.255,0.169,0.138,0.503,0.503,0.833,0.049,0.054,0.034,0.003,0.028,0.309,0.555,505794,0.135,2961003,2844526,0.628,167500,1343,380,913,35578,2412212,2.690,0.813,0.269,0.860,0.275,0.082,0.119,0.593,0.545,13996635,37055881,51243473,69437272,84716542,12927,24.80,50255,25848,0.164,136352,2295186,102671393,0.024,451951,499926,245243,182425,135313,344981,46780,427582,56.30,113594.08,"""04"""
Arkansas,2988248,2916025,0.025,2915918,0.064,0.068,0.236,0.244,0.163,0.144,0.509,0.509,0.794,0.157,0.010,0.016,0.003,0.020,0.073,0.729,220953,0.047,1354762,1316299,0.661,111400,1019,327,677,9474,1138025,2.530,0.839,0.072,0.848,0.211,0.123,0.093,0.585,0.533,4307264,15792628,62712925,31256110,36815256,12483,21.60,41371,22798,0.172,65175,1003113,39451191,0.011,198380,231959,123158,75962,35982,189029,25915,192988,56.00,52035.48,"""05"""
California,39250017,37254522,0.054,37253956,0.063,0.068,0.232,0.250,0.136,0.114,0.503,0.503,0.727,0.065,0.017,0.148,0.005,0.038,0.389,0.377,1777410,0.270,14060525,13680081,0.543,385500,2155,500,1255,102350,12717801,2.960,0.852,0.439,0.818,0.314,0.068,0.083,0.631,0.572,90830372,248953592,512303164,666652186,481800461,12665,28.00,61818,30318,0.143,908120,14325377,856954246,0.035,3206958,3548449,1852580,1320085,1619857,1819107,252377,3176341,239.10,155779.22,"""06"""
Colorado,5540545,5029324,0.102,5029196,0.061,0.068,0.228,0.244,0.134,0.109,0.497,0.499,0.875,0.045,0.016,0.033,0.002,0.030,0.213,0.686,391725,0.098,2339118,2212898,0.643,247800,1577,419,1002,38974,2024468,2.550,0.808,0.169,0.907,0.381,0.072,0.086,0.676,0.626,13617654,29488161,50447098,77034971,67815200,13073,24.80,60629,32217,0.110,161737,2253795,117539555,0.033,480847,547352,284554,194508,85849,442365,51722,469524,48.50,103641.89,"""08"""
Connecticut,3576452,3574114,0.001,3574097,0.052,0.057,0.211,0.229,0.161,0.142,0.512,0.513,0.806,0.118,0.005,0.047,0.001,0.023,0.157,0.677,199331,0.139,1499116,1487891,0.670,270500,2067,833,1075,5504,1352583,2.570,0.878,0.219,0.899,0.376,0.071,0.057,0.672,0.628,9542068,29573119,55160095,161962244,51632467,14381,25.40,70331,38803,0.098,89232,1503102,92555072,0.012,272809,326693,187845,106678,56113,259614,31056,281182,738.10,4842.36,"""09"""
Delaware,952065,897936,0.06,897934,0.058,0.062,0.215,0.229,0.175,0.144,0.516,0.516,0.701,0.226,0.006,0.040,0.001,0.026,0.092,0.629,71213,0.087,426149,405885,0.712,231500,1537,445,1018,5804,344022,2.620,0.866,0.129,0.884,0.300,0.085,0.066,0.631,0.594,2148437,7003251,22597384,5628914,14456001,15763,25.50,60509,30554,0.117,24852,397385,21305227,0.015,60734,73418,38328,23964,14440,54782,7206,60318,460.80,1948.54,"""10"""
Florida,20612439,18804592,0.096,18801310,0.055,0.057,0.201,0.213,0.199,0.173,0.511,0.511,0.776,0.168,0.005,0.029,0.001,0.021,0.249,0.549,1507738,0.197,9301642,8989580,0.653,159000,1435,463,1002,116240,7300494,2.630,0.838,0.281,0.869,0.273,0.085,0.153,0.588,0.547,49817925,124061425,96924106,252626608,273867145,14177,26.40,47507,26829,0.147,532830,7777990,337074525,0.045,2040339,2100187,1084885,807817,926112,1121749,185756,1846686,350.60,53624.76,"""12"""
Georgia,10310371,9688680,0.064,9687653,0.064,0.071,0.244,0.257,0.131,0.107,0.513,0.512,0.612,0.320,0.005,0.041,0.001,0.021,0.094,0.534,670617,0.098,4218776,4088801,0.633,148100,1346,392,879,51675,3574362,2.730,0.840,0.136,0.854,0.288,0.088,0.148,0.623,0.579,18976611,51800643,155836792,143645290,119801495,12077,27.40,49620,25737,0.160,224593,3692490,174839354,0.040,870897,929864,480578,376506,371588,538893,96787,800585,168.40,57513.49,"""13"""
